Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,K,algorithm,gamma,kernel,leaf_size,learning_rate,max_features,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,weights,F1-Score,accuracy,recall,sensitivity,specificity
2022-03-01 08:43:58,5.1s,cee5320e9e624e328ec64a5970b08438,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,92.88083173155783,91.98498530414196,92.67040603302542,93.18064738206344,90.48828513883258
2022-03-01 04:53:11,5.6s,36a2fb28e0494064bb9b237e5a21f0cb,Model: SVM - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,100,12,,1,rbf,,,,,,,,,,,89.71490211169625,91.96428571428571,89.99194808390418,89.69369611708007,93.53196357831249
2022-03-01 05:08:34,59.4s,d0e971699dd1460b94140b53ae2cab1a,Model: lightGBM - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,500,,31,,,89.51382629392482,91.90550462609286,92.17239647912704,87.30756576456787,95.01086848912927
2022-03-01 04:53:06,3.2s,612b212827044aafb1c850a791f6908d,Model: SVM - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,100,4,,1,rbf,,,,,,,,,,,89.75507982704801,91.90292722123353,89.92493604305959,89.70490710280836,93.38569834823052
2022-03-01 00:25:50,2.5min,dcaa7f3b17b64ff9bbd9d6c5de5ec76e,Model: lightGBM - Dataset: MDVR_KCL_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,200,,127,,,89.98903846303857,91.8600342528352,93.5343591157617,86.92839379373798,95.50898025955593
2022-03-01 04:54:25,3.8s,879dc94ed75d4aa99992dab6cec9e043,Model: KNN - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,1,,2,uniform,89.54784614832346,91.85086155674391,90.44508989432914,88.93251403160562,93.76615013005716
2022-03-01 08:43:55,3.0s,aa6d42b424804a968f21692714699b13,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,92.73395582234102,91.7883913127042,92.5899168831458,92.91179923697531,90.40918067553582
2022-03-01 07:50:41,9.4s,1a913061d1dd4720aabe0ca3066756c9,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,92.81227512163383,91.75195265244442,92.59326410305745,93.06154446273035,90.00625444442538
2022-03-01 04:29:39,4.3s,66ed1bfadb4b4528a785d4a5dc5925ce,Model: SVM - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,10,4,,1,rbf,,,,,,,,,,,89.26753456975842,91.73254281949933,92.01917832828066,86.73950843906549,95.0302629173439
2022-03-01 07:50:38,3.7s,f98c9cdd471f44838d11cc3489dd0440,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,92.78695318762986,91.7124576266891,92.56340080168299,93.02134441160867,89.95975151871258
2022-03-01 00:28:59,3.8s,2c35bb7455e34a99ba582c4fd9a73717,Model: KNN - Dataset: MDVR_KCL_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,6,,1,distance,89.92241555092754,91.68108322026232,90.63859815147269,89.33753451102172,93.4238039042019
2022-03-01 09:06:33,5.3s,f1781b18dfc548488d6a6f35172a1b86,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,92.6316703156827,91.66148558141889,92.10300665309283,93.2811328120899,89.59451636827409
2022-03-01 04:30:58,3.2s,671c568106d143cab6edadb68f43a27e,Model: KNN - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,6,,1,distance,88.88740272953063,91.65568730786123,94.08863507125271,84.29389366315716,96.53140555103288
2022-03-01 00:28:22,3.1s,437a471dddb143dea8118fa7e0edd4f1,Model: SVM - Dataset: MDVR_KCL_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,100,4,,1,rbf,,,,,,,,,,,90.04983054333857,91.64682270465852,90.01698504928784,90.20186164002006,92.69026351961767
2022-03-01 05:07:43,21.7s,0f28eeb3ef934f988d29cb10fcaee1b5,Model: lightGBM - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,500,,31,,,89.03444852271754,91.60765163068235,92.09019941206392,86.29330742998104,95.14410145240382
2022-03-01 09:06:29,3.4s,ad391a6ead6a4efeb2b4f530f1380872,Model: LR - Dataset: ItalianParkinsonSpeech_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,92.44321067633922,91.40544014335117,91.76698499755041,93.17754178002377,89.11114821084043
2022-03-01 00:41:39,1.1min,765f4df13a824ac9a8db6740f66302ef,Model: lightGBM - Dataset: MDVR_KCL_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,200,,31,,,89.3105230721439,91.37747899620355,92.03261005061412,87.02572738951716,94.56708420724793
2022-03-01 04:53:49,2.7s,c19bf1fd999f44ab8e6cad5b83945790,Model: KNN - Dataset: MDVR_KCL_chunk_5000ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,1,,2,uniform,88.98491318726677,91.30374659419817,89.68240270225591,88.39704802213465,93.26692727612318
2022-03-01 00:24:10,34.3s,2b3046bb6dbd44eca1ffb95952a7f19d,Model: lightGBM - Dataset: MDVR_KCL_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,200,,127,,,89.21976336005183,91.22166334430484,92.83409213759374,85.91816702582825,95.0927969663532
2022-03-01 04:51:35,1.5min,ff1264fe923840e0acc127660398c6fa,Model: lightGBM - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.1,,,,200,,127,,,88.26777219150105,91.17808519982432,92.37880237119315,84.68717183576128,95.45833255343118
2022-02-28 23:40:07,9.8s,b3c24d211d144704ad8442af48081ef0,Model: SVM - Dataset: MDVR_KCL_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,10,12,,1,rbf,,,,,,,,,,,89.31728160672735,91.12297244673327,90.85358485399655,88.01233610835634,93.44115787847066
2022-03-01 05:31:12,3.8s,a1d0307251ee42869e76ef3da9ec5fbf,Model: LR - Dataset: ItalianParkinsonSpeech_split_on_silence_2000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,,,,,,,,,,91.78440925008849,91.11834811529934,91.16805339396316,92.77602107021798,89.2674095914109
2022-02-28 23:29:09,2.2s,7f61901acd0642959d2e326c902e69c8,Model: LR - Dataset: ItalianParkinsonSpeech,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,,,,,,,,,,92.02892015487613,91.0752390148535,90.5333745548736,93.74176690877576,88.03172270036079
2022-03-01 04:50:21,27.3s,08460689be4d40ec9034af257a1db579,Model: lightGBM - Dataset: MDVR_KCL_chunk_3000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.1,,,,200,,127,,,88.04468993000445,90.92007026789635,92.11369024534015,84.36993139601,95.2312609071505
2022-02-28 23:42:17,3.0s,11e3b4b631cd455a8819e468b1ce931a,Model: KNN - Dataset: MDVR_KCL_split_on_silence_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,4,,2,distance,89.10713870374369,90.81655460982762,88.74766609919936,89.67035974324936,91.67224595372984
